what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.openshift.express.ui,2.3.0.v20120510-2034-H93-Beta3,"org.jboss.tools.openshift.express.ui",1337875396874
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20120504-2054-H105-Beta3,"org.jboss.ide.eclipse.archives.webtools",1337875396874
stopped,bundle,org.jboss.ide.eclipse.as.wtp.ui,2.3.0.v20120504-2054-H105-Beta3,"org.jboss.ide.eclipse.as.wtp.ui",1337875396875
stopped,bundle,org.jboss.tools.maven.profiles.ui,1.3.0.v20120514-1625-H96-Beta3,"org.jboss.tools.maven.profiles.ui",1337875396875
stopped,bundle,org.jboss.tools.maven.cdi,1.3.0.v20120514-1625-H96-Beta3,"org.jboss.tools.maven.cdi",1337875396875
activated,perspective,net.sourceforge.pmd.eclipse.plugin,,"net.sourceforge.pmd.eclipse.ui.views.pmdPerspective",1337875642299
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1337875642300
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1337875642301
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1337875642303
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1337875642303
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1337875642304
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1337875642309
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1337875642310
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1337875642311
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1337875642312
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1337875642312
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1337875642313
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1337875642314
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1337875642314
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1337875642315
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1337875642316
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1337875642317
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1337875642318
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1337875642318
